Date : 2025-10-20 00:33:46
Directory : c:\Users\bibindon\source\repos\bibindon\RedfortressRender
Total : 110 files,  12003 codes, 1436 comments, 3441 blanks, all 16880 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         62 |      6,717 |        754 |      2,241 |      9,712 |
| HLSL     |         43 |      4,311 |        682 |      1,193 |      6,186 |
| XML      |          4 |        954 |          0 |          6 |        960 |
| Markdown |          1 |         21 |          0 |          1 |         22 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        110 |     12,003 |      1,436 |      3,441 |     16,880 |
| . (Files)                                                                                          |          1 |         21 |          0 |          1 |         22 |
| GrassLandSample                                                                                    |          1 |        129 |          0 |          6 |        135 |
| Render                                                                                             |         79 |      8,698 |      1,039 |      2,711 |     12,448 |
| Render (Files)                                                                                     |         59 |      6,607 |        711 |      2,136 |      9,454 |
| Render\shader                                                                                      |         20 |      2,091 |        328 |        575 |      2,994 |
| Sample                                                                                             |         25 |      2,965 |        389 |        712 |      4,066 |
| Sample (Files)                                                                                     |          3 |        783 |         35 |        103 |        921 |
| Sample\res                                                                                         |         22 |      2,182 |        354 |        609 |      3,145 |
| Sample\res\shader                                                                                  |         22 |      2,182 |        354 |        609 |      3,145 |
| UnitTest1                                                                                          |          4 |        190 |          8 |         11 |        209 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\GrassLandSample\GrassLandSample.vcxproj  | XML      |        129 |          0 |          6 |        135 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\README.md                                | Markdown |         21 |          0 |          1 |         22 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.cpp                | C++      |         76 |         14 |         13 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.h                  | C++      |         33 |          1 |          9 |         43 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.cpp                      | C++      |        219 |         12 |         68 |        299 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.h                        | C++      |         53 |          1 |         23 |         77 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.cpp                 | C++      |        131 |          1 |         35 |        167 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.h                   | C++      |         35 |          0 |         14 |         49 |
