Date : 2026-04-29 21:53:48
Directory : c:\Users\bibindon\source\repos\bibindon\RedfortressRender
Total : 135 files,  15574 codes, 1697 comments, 4323 blanks, all 21594 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         79 |      9,243 |        801 |      2,824 |     12,868 |
| HLSL     |         51 |      5,259 |        896 |      1,481 |      7,636 |
| XML      |          4 |      1,031 |          0 |          1 |      1,032 |
| Markdown |          1 |         41 |          0 |         17 |         58 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        135 |     15,574 |      1,697 |      4,323 |     21,594 |
| . (Files)                                                                                                  |          1 |         41 |          0 |         17 |         58 |
| GrassLandSample                                                                                            |          1 |        130 |          0 |          0 |        130 |
| Render                                                                                                     |         92 |     10,405 |      1,175 |      3,237 |     14,817 |
| Render (Files)                                                                                             |         69 |      7,990 |        793 |      2,573 |     11,356 |
| Render\shader                                                                                              |         23 |      2,415 |        382 |        664 |      3,461 |
| Sample                                                                                                     |         37 |      4,808 |        514 |      1,058 |      6,380 |
| Sample (Files)                                                                                             |         10 |      2,002 |          0 |        250 |      2,252 |
| Sample\res                                                                                                 |         27 |      2,806 |        514 |        808 |      4,128 |
| Sample\res\shader                                                                                          |         27 |      2,806 |        514 |        808 |      4,128 |
| UnitTest1                                                                                                  |          4 |        190 |          8 |         11 |        209 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                   | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\GrassLandSample\GrassLandSample.vcxproj          | XML      |        130 |          0 |          0 |        130 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\README.md                                        | Markdown |         41 |          0 |         17 |         58 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.cpp                        | C++      |         76 |         14 |         13 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.h                          | C++      |         33 |          1 |          9 |         43 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.cpp                              | C++      |        219 |         12 |         68 |        299 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.h                                | C++      |         53 |          2 |         23 |         78 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.cpp                         | C++      |        131 |          1 |         35 |        167 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.h                           | C++      |         35 |          0 |         14 |         49 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.cpp                                | C++      |        126 |          3 |         30 |        159 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.h                                  | C++      |         43 |          0 |         19 |         62 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.cpp                                | C++      |         87 |          0 |         30 |        117 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.h                                  | C++      |         97 |          7 |         36 |        140 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.cpp                                  | C++      |        146 |         11 |         54 |        211 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.h                                    | C++      |         49 |         14 |         20 |         83 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.cpp                               | C++      |        139 |         12 |         35 |        186 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.h                                 | C++      |         25 |          1 |         15 |         41 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.cpp                                 | C++      |         52 |          0 |         17 |         69 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.h                                   | C++      |         33 |          4 |         17 |         54 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.cpp                         | C++      |          1 |          0 |          1 |          2 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.h                           | C++      |          8 |          5 |          6 |         19 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.cpp                        | C++      |        169 |         17 |         61 |        247 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.h                          | C++      |         36 |          4 |         28 |         68 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.cpp                               | C++      |        353 |         84 |        112 |        549 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.h                                 | C++      |         96 |        114 |         77 |        287 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.cpp                        | C++      |          1 |          0 |          1 |          2 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.h                          | C++      |          9 |          4 |         10 |         23 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.cpp                     | C++      |        179 |         13 |         56 |        248 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.h                       | C++      |         33 |          5 |         26 |         64 |
